"Código Infração","Descrição da Infração","Art.CTB/Decreto","Infrator","Valor Real(R$)","Categoria","Medida Administrativa"
"5207-1","Dirigir sem atenção indispensável à Segurança.","169","Condutor","53,20","Leve",""
"5207-2","Dirigir sem os cuidados indispensáveis à Segurança.","169","Condutor","53,20","Leve",""
"5363-1","Deixar que faça reparo em veíc via pública salvo nos casos de imped abs de sua remoção e em que o veíc esteja sinal em outras vias além pista rolam de rod e vias de trans rapid","179, II","Proprietário","53,20","Leve",""
"5363-2","Fazer reparo veículo via pública salvo nos casos de imped abs de sua remoção e em que o veíc esteja devid sinal nas demais vias exceto as pistas de rol rod e vias de trâns ráp","179, II","Proprietário","53,20","Leve",""
"5398-1","Estacionar o veículo afastado da guia da calçada (meio fio) de cinquenta centímetros a um metro.","181, II","Condutor","53,20","Leve","remoção do veículo"
"5444-1","Estacionar o veículo nos acostamentos, salvo motivo de força maior.","181, VII","Condutor","53,20","Leve","remoção do veículo"
"5541-1","Estacionar o veículo em desacordo com as condições regulamentadas especificamente pela sinalização (placa - Estacionamento Regulamentado).","181, XVII","Condutor","53,20","Leve","remoção do veículo"
"5584-1","Parar o veículo afastado da guia da calçada (meio - fio) de cinquenta centímetros a um metro.","182, II","Condutor","53,20","Leve","remoção do veículo"
"5606-1","Parar o veículo em desacordo com as posições estabelecidas no Código de Trânsito Brasileiro.","182, IV","Condutor","53,20","Leve","remoção do veículo"
"5622-1","Parar o veículo no passeio destinado a pedestres.","182, VI","Condutor","53,20","Leve","remoção do veículo"
"5622-2","Parar o veículo sobre faixa destinada a pedestres.","182, VI","Condutor","53,20","Leve","remoção do veículo"
"5622-3","Parar o veículo na ilha da via.","182, VI","Condutor","53,20","Leve","remoção do veículo"
"5622-4","Parar o veículo nos refúgios da via.","182, VI","Condutor","53,20","Leve","remoção do veículo"
"5622-5","Parar o veículo nos canteiros centrais.","182, VI","Condutor","53,20","Leve","remoção do veículo"
"5622-6","Parar o veículo nos divisores de pista de rolamento.","182, VI","Condutor","53,20","Leve","remoção do veículo"
"5622-7","Parar o veículo nas marcas de canalização.","182, VI","Condutor","53,20","Leve","remoção do veículo"
"5681-1","Transitar com veículo na faixa da direita regulamentada como de circulação exclusiva p/determinado tipo de veículo exceto p/acesso à imóveis lindeiros ou conv direita.","184,I","Condutor","53,20","Leve",""
"5681-2","Transitar com veículo na pista da direita regulamentada como de circulação exclusiva p/determinado tipo de veículo exceto p/acesso à imóveis lindeiros ou conversões à direita","184,I","Condutor","53,20","Leve",""
"5983-1","Ultrapassar veículo, em movimento que integre cortejo, salvo com autorização do agente da autoridade de trânsito.","205","Condutor","53,20","Leve",""
"5983-2","Ultrapassar veículo, em movimento que integre préstito, salvo com autorização do agente da autoridade de trânsito.","205","Condutor","53,20","Leve",""
"5983-3","Ultrapassar veículo, em movimento que integre desfiles e formações militares, salvo com autorização do agente da autoridade de trânsito.","205","Condutor","53,20","Leve",""
"6440-1","Fazer uso do facho de luz alta dos faróis em vias providas de iluminação pública.","224","Condutor","53,20","Leve",""
"6483-1","Usar buzina em situação que não a de simples toque breve como advertência ao pedestre.","227, I","Condutor","53,20","Leve",""
"6483-2","Usar buzina em situação que não a de simples toque breve como advertência a condutores de outros veículos.","227, I","Condutor","53,20","Leve",""
"6491-1","Usar buzina prolongada e sucessivamente a qualquer pretexto.","227, II","Condutor","53,20","Leve",""
"6505-1","Usar buzina entre as vinte e duas e as seis horas.","227, III","Condutor","53,20","Leve",""
"6513-1","Usar buzina em locais proibidos pela sinalização.","227, IV","Condutor","53,20","Leve",""
"6513-2","Usar buzina em horários proibidos pela sinalização.","227, IV","Condutor","53,20","Leve",""
"6521-1","Usar buzina em desacordo com os padrões e freqüências estabelecidas pelo CONTRAN.","227 , V","Proprietário","53,20","Leve",""
"6912-1","Conduzir veículo sem os documentos de porte obrigatório.","232","Proprietário","53,20","Leve","retenção do veículo"
"7005-1","Deixar de atualizar o cadastro de registro do veículo.","241","Proprietário","53,20","Leve",""
"7005-2","Deixar de atualizar o cadastro de habilitação do condutor.","241","Proprietário","53,20","Leve",""
"7382-1","É proibido ao pedestre permanecer nas pistas de rolamento, exceto para cruzá-las onde for permitido.","254, I","Pessoa Física","26,60","Leve",""
"7382-2","É proibido ao pedestre andar nas pistas de rolamento, exceto para cruzá-las, onde for permitido.","254, I","Pessoa Física","26,60","Leve",""
"7390-1","É proibido ao pedestre cruzar pistas de rolamento nos viadutos, salvo onde exista permissão.","254 , II","Pessoa Física","26,60","Leve",""
"7390-2","É proibido ao pedestre cruzar pistas de rolamento nas pontes, salvo onde exista permissão.","254 , II","Pessoa Física","26,60","Leve",""
"7390-3","É proibido ao pedestre cruzar pistas de rolamento nos túneis, salvo onde exista permissão.","254 , II","Pessoa Física","26,60","Leve",""
"7404-1","É proibido ao pedestre atravessar a via dentro das áreas de cruzamento, salvo quando houver sinalização para esse fim.","254 , III","Pessoa Física","26,60","Leve",""
"7412-1","É proibido ao pedestre utilizar-se da via em agrupamentos capazes de perturbar o trânsito, salvo em casos especiais e com devida licença da autoridade competente.","254, IV","Pessoa Física","26,60","Leve",""
"7412-2","É proibido ao pedestre utilizar-se da via para a prática de qualquer folguedo, salvo em casos especiais e com devida licença da autoridade competente.","254, IV","Pessoa Física","26,60","Leve",""
"7412-3","É proibido ao pedestre utilizar-se da via para a prática de qualquer esporte, salvo em casos especiais e com devida licença da autoridade competente.","254 , IV","Pessoa Física","26,60","Leve",""
"7412-4","É proibido ao pedestre utilizar-se da via para a prática de desfile e similares. Salvo em casos especiais e com a devida licença da autoridade competente.","254 , IV","Pessoa Física","26,60","Leve",""
"7420-1","É proibido ao pedestre andar fora da faixa própria.","254 , V","Pessoa Física","26,60","Leve",""
"7420-2","É proibido ao pedestre andar fora da passarelas.","254 , V","Pessoa Física","26,60","Leve",""
"7420-3","É proibido ao pedestre andar fora da passagem aérea.","254 , V","Pessoa Física","26,60","Leve",""
"7420-4","É proibido ao pedestre andar fora da passagem subterrânea","254 , V","Pessoa Física","26,60","Leve",""
"7439-1","É proibido ao pedestre desobedecer a sinalização de trânsito específica.","254 , VI","Pessoa Física","26,60","Leve",""
"5223-1","Usar o veículo para arremessar água sobre os pedestres.","171","Condutor","85,13","Média",""
"5223-2","Usar o veículo para arremessar detritos sobre os pedestres.","171","Condutor","85,13","Média",""
"5223-3","Usar o veículo para arremessar água sobre outros veículos.","171","Condutor","85,13","Média",""
"5223-4","Usar o veículo para arremessar detritos sobre outros veículos.","171","Condutor","85,13","Média",""
"5231-1","Atirar do veículo objetos na via pública.","172","Condutor","85,13","Média",""
"5231-2","Atirar do veículo substâncias na via pública.","172","Condutor","85,13","Média",""
"5231-3","Abandonar do veículo objetos na via pública.","172","Condutor","85,13","Média",""
"5231-4","Abandonar do veículo substância na via pública.","172","Condutor","85,13","Média",""
